,senti,id,review
0,恐,1699401981,周一领导约我谈话，是我的春天来了还是冬天到了……
1,哀,1823327204,南昌，三清山七日游圆满回归，非常好的心情，被一则消息摧毁的一点不剩，莫名哀伤.............
2,哀,1750480792,"送走朋友，我又孤独的在车站等可以把我送回家的854A,其实很多车都可以回家，只是不能到门口。或许我就是这样固执的存在。有时候承认自己很孤独，你会发现周围的人跟你一样孤独。"
3,喜,1423326453,新的一年即将到来，祝大家龙年好运！当然也包括我！[哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈]
4,怒,1669312422,为什么要在太阳最晒的时候。。。。。。。。。。。
5,怒,1737369257,在看《不二神探》之前，我一直以为富春和小时代是烂片之王。想不明白为什么这么多明星居然接下这么一部毫无逻辑违背牛顿第三定律的傻逼片！中途睡了两次，以后看国产烂片我就是傻逼……
6,,1678342083,春天到了，我们去田野里春游吧！
7,哀,1003582744,老师、老师。你别老是叫我背英语啊。我连读都不会读。我怎么背啊[泪][泪][泪]
8,喜,1807736195,@希hee丁 美妞  生日快乐  [蛋糕][蛋糕][蛋糕]
9,,1738090571,美国最高法院的大法官霍尔姆斯说：法律不是一个道德或是伦理问题。它的作用是制定规则，规则的意义不在于告诉社会成员如何生活，而是告诉他们，在规则遭到破坏时，他们可以预期到会得到什么
10,惊,1733691280,看样子西班牙要打破40年不能卫冕的魔咒了！卡西！圣卡西！@阿诺德斯瓦鑫鑫 你的意大利队被中国队附身了！
11,喜,1583379485,这周姐终于要耍个正儿八经的双休了
12,,1750606523,谁在成都啊。。赶紧冒泡啊！我无聊！
13,哀,1743496315,听说伊布伤了？米兰实验室怎么搞的，梅克斯、塔伊沃、罗比鸟、加图索一个个伤起来了。[委屈] 快好起来吧！！！！
14,喜,1614785911,容祖儿1314演唱会，华丽登场[心][心][心]感谢赞美主！
15,,1778438880,折多河的水流声伴着入眠，晚安，独行的第一夜。
16,,1698870801,#爱读书# 虚荣心支使我们拿真话来掩饰事实
17,哀,1270930271,夏季鼻血综合症提前来临 今天洗澡洗到洗到就来了股鼻血 打响了今年夏天我战鼻血的第一枪[鄙视]
18,,1678598960,苏马湾的缩小版----- 小苏马
19,喜,1673539960,原来有太久没露脸，露个脸，全身的！[酷]
20,,1630131004,连着主持了几天婚礼真累了，今晚小聚了一下，呵呵......喝的有点高了
21,喜,1768575503,这时候发觉这段时间是熬过来的！ 不过，it is't too bad!
22,哀,1782959173,我很好，不吵不闹不炫耀，不要委屈不要嘲笑，也不需要别人知道。
23,哀,1776228955,突然明白，坚强并不是什么好事情，因为有些人会认为你坚强，所以伤害你问题不大，于是一再的伤害你。
24,喜,1672656427,东方卫视#梦圆东方2013东方卫视跨年盛典# 借着May Day的正能量希望2013年翻开崭新的一页，期待BIG THINGS......
25,喜,1840248311,[哈哈][哈哈][哈哈]傻瓜，我要做宝宝的专职小闹钟呢[亲亲]求给一辈子机会[爱你][花心][花心][花心]@小黄欺负大脸猫
26,恐,1839227252,最近事情发展有些缓慢，有些着急。冥冥中开始期盼有高人指点迷津。命，究竟是什么？三分天注定，七分靠打拼，是我努力不够？还是…唉！前方路是什么样？我该怎么办啊？
27,恐,1810830583,前所未有的惆怅，对朋友对亲人对所有人，我不想失去不想看到你们的不开心，但有时候，事与愿违啊，怎么办呢。。。
28,哀,1570020202,同事都在给自己对象发短信打电话问爱情是什么？[g头晕]我的爱情在哪里阿。
29,,1252108964,#豪门盛宴互动话题#德国/西班牙打决赛。。
30,哀,1623645642,真想对写文章树中指，好不容易写出来，改的也费劲，啊，我不喜欢写文章！！！！
31,喜,1787388791,我們室長說，我就是她的寶娜。[害羞]晚安。
32,哀,1761717200,笑點太高並不可怕，只是每當笑點來的時候老師就開始講閩南話讓人很不爽啊，留我一人表情僵硬。
33,喜,1804451185,又梦见khun oppa 了  哇咔咔 去听讲座喽[嘻嘻]
34,,1497129524,【十个夺命的喝水坏习惯】1、饮水机从不洗。2、自来水一烧开就喝。3、爱喝瓶装水。4、喝千滚水。5、不渴不喝水。6、每天喝不够6杯水。7、不按体质喝水、饮料代水。8、晨起不喝水，到老都后悔。9、吃咸了不马上补水。10、睡前不喝水。请转给你的朋友，注意这些习惯。
35,,1458579665,【2013中国光伏五大预言】1.电改重启进入输配分离的核心阶段，为新能源创造一个适宜的电力环境2.光伏补贴政策全统一为分地区统一上网电价3.取消1MW以下光伏电站的项目核准改为备案制4.中国光伏新增装机一举超过10GW，成为全球最大单一光伏市场5.一家全新的光伏公司将颠覆整个行业，一鸣惊人
36,喜,1839521872,刚看完僵尸世界大战，对于片中僵尸不咬病人的设定十分喜爱，于是欢乐的觉得类似我等脑残，将会安全度过一生，喜大普奔。。。
37,喜,1630131004,昨天一个人去电影院看了一场电影《冰河时代4》，电影的3D效果很棒，剧情幽默搞笑，特别是剧中肚肚海盗船长在船上的歌声让我留下了很深刻的印象，在整个电影结束时让我明白了只有真正的朋友在最关键的时刻才能站出来为你撑腰 @我叫彭小杰
38,,1731273760,有些时候，你所寻找的平静，就在内心深处。所谓爱恨，也只不过影响你一个瞬间，过去了以后，或许有所成长，但还是终究那个自己。我们要面对的人生，始终都在那里。即使疼痛，即使感觉无法呼吸，该发生的该面对的结局，都在那里。无法逃避，只能选择让自己平静地坦然地接受。
39,喜,1822351215,外面邻居家嫁姑娘，锣鼓喧天的《抱一抱》呀~等我结婚也这样奏一曲，哈哈哈
40,喜,1673539960,到点就犯困，放假没有想象中这么晚睡！比平时上班每天两三点好多了！不知这正常的作息能否存点脂肪[偷笑][偷笑]
41,,1772925945,当我选择放弃、忘记一个人的时候，那么那一定不是一时冲动，而是太多事情而导致的一个结果。也许有时候我会在曾经温暖记忆里念念不忘，也许这个有时候是很多时候，可是无论如何，我都不会回头。理智骄傲感觉都不允许，我去回头。
42,喜,1609958174,人非生来勇敢，是因为有了要守护的人，有了担当，才会变得勇敢，我承认有时候我像个coward，但是从现在起，我想每天为我爱的人和爱我的人做出些勇敢的改变。[微风][微风]
43,,1746268077,"也许这是我的真实面容.模糊,让人捉摸不清."
44,惊恐,1823353397,<emo>恐</emo>[话筒]威海一中的孩子们真的太猛了！一个个的上着国内的好大学都跑到美国加拿大瑞典等读研的！放弃浙大出国的！保研本校不读自己考的！保上对外经贸大学的！保上北大的！[给力]怎么我就不猛呢[浮云]估计是因为我在这刷微波[囧][囧][囧]还有13天！！！
45,哀,1836970787,（生活有太多的无奈 高中生活就要这么不了了之了吗？）
46,惊,1857027864,好一个车水马龙的我们医院，下雨还这么多人
47,哀,1088882280,不闻不问不一定是忘记了，但一定是疏远了，彼此沉默太久就连主动都需要勇气。
48,,1415622551,你不勇敢，没人替你坚强。没有伞的孩子必须努力奔跑！自己选择的路，跪着也要把它走完
49,惊,1801018257,这些哥们太虎B了  连干两杯[good][good]
50,哀,1823711845,肚子好饿 ！！！！[可怜]不想吃 怎么办？[抓狂]
51,,1677591482,“An organization’s ability to learn
52,惊,1247051634,这雨在怎么下，成都就要成中国威尼斯了。
53,喜,1747538177,@___侍 @邱小姐叫阿晨头  挚爱一生~~ forever young！@我是小警察  @珍珠荷葉面 @曾先生是蘿莉控 @LeE-_-iL
54,,1700874893,我真的米有去三亚。。不然还能不一人送辆跑车给你们嘛@easy张小希 @莫笑我疯癫 @晓静Amy @____女王大人
55,,1728057213,刚刚带妹妹去坐喜洋洋，路过一棵树，看到树下一对情侣在玩手机，手机屏幕的光照地脸色发亮，我妹妹看着我说：你看，她们都在晒太阳…[衰]
56,喜,1583379485,我也去摘樱桃了额 ，，，好开心好开心[耶][耶]
57,哀,1823789251,真该下定决心减肥了，我自己都闲胖了，更别说别人了！
58,怒,1750606523,QQ真你妈傻逼。TM建讨论组只能20人，非要我换成QQ，才让我建50人的讨论组。我很讨厌QQ！
59,喜,1458579665,上班第一天[xyj年年有鱼][放鞭炮]
60,喜,1844872061,原来昨天是平安夜，原来今天是圣诞节，祝大家都平安快乐
61,哀,1778438880,忧桑就是。。。看着别人泡温泉，自己玩自拍。。。
62,恐,1822612297,新的一周也是漫长的一周啊，要等到端午才能休息吧。
63,哀,1730028145,突然觉得自己一天在乎的都是些琐碎事情 或者说自己对于某些事情急于求成 总想抓住那些不属于自己的 忽略了自己囊中的 我該做的没做好 纠结了一些无谓的事 关注了些无聊的人 介意了些蛋疼的事
64,,1835137567,@Shine_吴泽帅 你回来了吗？
65,哀,1699401981,一觉醒来，恍然发现已经没了生活，没了之前追逐的东西，没了自己。那些长时间搁置的东西，只能拂尘兴叹。当我无病呻吟地察觉到自己选择是错误的并且看不到未来的时候，也仅仅只能靠六言三境来自省，时间到了，多事之秋……
66,惊,1648602391,是我听错了还是他说错了，在传球的一瞬间凯塔越位了。。。
